Assembly_Acc,core,unique(merged$organism_id)
GCA_000007185.1,000007185.1,GCF_000007185.1
GCA_000007225.1,000007225.1,GCF_000007225.1
GCA_000007345.1,000007345.1,GCF_000007345.1
GCA_000008265.1,000008265.1,GCF_000008265.1
GCA_000008665.1,000008665.1,GCF_000008665.1
GCA_000009185.1,000009185.1,GCF_000009185.1
GCA_000009965.1,000009965.1,GCF_000009965.1
GCA_000011005.1,000011005.1,GCF_000011005.1
GCA_000011085.1,000011085.1,GCF_000011085.1
GCA_000011105.1,000011105.1,GCF_000011105.1
GCA_000011125.1,000011125.1,GCF_000011125.1
GCA_000011185.1,000011185.1,GCF_000011185.1
GCA_000011205.1,000011205.1,GCF_000011205.1
GCA_000012285.1,000012285.1,GCF_000012285.1
GCA_000012545.1,000012545.1,GCF_000012545.1
GCA_000013445.1,000013445.1,GCF_000013445.1
GCA_000013725.1,000013725.1,GCF_000013725.1
GCA_000014945.1,000014945.1,GCF_000014945.1
GCA_000015145.1,000015145.1,GCF_000015145.1
GCA_000015205.1,000015205.1,GCF_000015205.1
GCA_000015225.1,000015225.1,GCF_000015225.1
GCA_000015765.1,000015765.1,GCF_000015765.1
GCA_000015805.1,000015805.1,GCF_000015805.1
GCA_000015825.1,000015825.1,GCF_000015825.1
GCA_000015945.1,000015945.1,GCF_000015945.1
GCA_000016385.1,000016385.1,GCF_000016385.1
GCA_000016525.1,000016525.1,GCF_000016525.1
GCA_000016605.1,000016605.1,GCF_000016605.1
GCA_000017165.1,000017165.1,GCF_000017165.1
GCA_000017185.1,000017185.1,GCF_000017185.1
GCA_000017625.1,000017625.1,GCF_000017625.1
GCA_000017945.1,000017945.1,GCF_000017945.1
GCA_000018305.1,000018305.1,GCF_000018305.1
GCA_000018365.1,000018365.1,GCF_000018365.1
GCA_000018465.1,000018465.1,GCF_000018465.1
GCA_000019605.1,000019605.1,GCF_000019605.1
GCA_000019805.1,000019805.1,GCF_000019805.1
GCA_000021965.1,000021965.1,GCF_000021965.1
GCA_000022205.1,000022205.1,GCF_000022205.1
GCA_000022365.1,000022365.1,GCF_000022365.1
GCA_000022445.1,000022445.1,GCF_000022445.1
GCA_000022545.1,000022545.1,GCF_000022545.1
GCA_000023945.1,000023945.1,GCF_000023945.1
GCA_000023965.1,000023965.1,GCF_000023965.1
GCA_000023985.1,000023985.1,GCF_000023985.1
GCA_000024185.1,000024185.1,GCF_000024185.1
GCA_000024625.1,000024625.1,GCF_000024625.1
GCA_000025285.1,000025285.1,GCF_000025285.1
GCA_000025325.1,000025325.1,GCF_000025325.1
GCA_000025505.1,000025505.1,GCF_000025505.1
GCA_000025625.1,000025625.1,GCF_000025625.1
GCA_000025685.1,000025685.1,GCF_000025685.1
GCA_000025865.1,000025865.1,GCF_000025865.1
GCA_000026045.1,000026045.1,GCF_000026045.1
GCA_000063445.1,000063445.1,GCF_000063445.1
GCA_000091665.1,000091665.1,GCF_000091665.1
GCA_000092185.1,000092185.1,GCF_000092185.1
GCA_000092305.1,000092305.1,GCF_000092305.1
GCA_000092465.1,000092465.1,GCF_000092465.1
GCA_000144915.1,000144915.1,GCF_000144915.1
GCA_000145295.1,000145295.1,GCF_000145295.1
GCA_000147875.1,000147875.1,GCF_000147875.1
GCA_000148385.1,000148385.1,GCF_000148385.1
GCA_000151105.2,000151105.2,GCF_000151105.2
GCA_000152265.2,000152265.2,GCF_000152265.2
GCA_000172995.2,000172995.2,GCF_000172995.2
GCA_000179575.2,000179575.2,GCF_000179575.2
GCA_000186365.1,000186365.1,GCF_000186365.1
GCA_000190315.1,000190315.1,GCF_000190315.1
GCA_000191585.1,000191585.1,GCF_000191585.1
GCA_000193375.1,000193375.1,GCF_000193375.1
GCA_000194625.1,000194625.1,GCF_000194625.1
GCA_000195915.1,000195915.1,GCF_000195915.1
GCA_000195935.2,000195935.2,GCF_000195935.2
GCA_000196655.1,000196655.1,GCF_000196655.1
GCA_000196895.1,000196895.1,GCF_000196895.1
GCA_000204415.1,000204415.1,GCF_000204415.1
GCA_000204925.1,000204925.1,GCF_000204925.1
GCA_000213215.1,000213215.1,GCF_000213215.1
GCA_000214415.1,000214415.1,GCF_000214415.1
GCA_000214725.1,000214725.1,GCF_000214725.1
GCA_000215995.1,000215995.1,GCF_000215995.1
GCA_000217715.1,000217715.1,GCF_000217715.1
GCA_000217995.1,000217995.1,GCF_000217995.1
GCA_000223395.1,000223395.1,GCF_000223395.1
GCA_000223905.1,000223905.1,GCF_000223905.1
GCA_000234805.1,000234805.1,GCF_000234805.1
GCA_000235565.1,000235565.1,GCF_000235565.1
GCA_000251105.1,000251105.1,GCF_000251105.1
GCA_000253055.1,000253055.1,GCF_000253055.1
GCA_000258425.1,000258425.1,GCF_000258425.1
GCA_000264495.1,000264495.1,GCF_000264495.1
GCA_000265525.1,000265525.1,GCF_000265525.1
GCA_000299365.1,000299365.1,GCF_000299365.1
GCA_000299395.1,000299395.1,GCF_000299395.1
GCA_000303155.1,000303155.1,GCF_000303155.1
GCA_000304355.2,000304355.2,GCF_000304355.2
GCA_000317795.1,000317795.1,GCF_000317795.1
GCA_000327485.1,000327485.1,GCF_000327485.1
GCA_000328525.1,000328525.1,GCF_000328525.1
GCA_000328665.1,000328665.1,GCF_000328665.1
GCA_000328685.1,000328685.1,GCF_000328685.1
GCA_000385565.1,000385565.1,GCF_000385565.1
GCA_000446015.1,000446015.1,GCF_000446015.1
GCA_000470655.1,000470655.1,GCF_000470655.1
GCA_000517445.1,000517445.1,GCF_000517445.1
GCA_000517625.1,000517625.1,GCF_000517625.1
GCA_000585495.1,000585495.1,GCF_000585495.1
GCA_000591035.1,000591035.1,GCF_000591035.1
GCA_000591055.1,000591055.1,GCF_000591055.1
GCA_000698785.1,000698785.1,GCF_000698785.1
GCA_000725425.1,000725425.1,GCF_000725425.1
GCA_000730285.1,000730285.1,GCF_000730285.1
GCA_000739065.1,000739065.1,GCF_000739065.1
GCA_000769655.1,000769655.1,GCF_000769655.1
GCA_000800805.1,000800805.1,GCF_000800805.1
GCA_000812185.1,000812185.1,GCF_000812185.1
GCA_000816105.1,000816105.1,GCF_000816105.1
GCA_000875775.1,000875775.1,GCF_000875775.1
GCA_000956175.1,000956175.1,GCF_000956175.1
